pattern string,label,Pattern type,url
"We use first-party and third-party cookies to understand the uses of our online store and to be able to improve it, adapt the content to your preferences and personalize our advertisements, marketing and publications on social networks. For more information you can consult our Cookie Policy.",1,cookies,https://www.zara.com
"We use cookies to customise and improve the content shown to you, making sure you'll get the best online shopping experience. By clicking ""Accept All Cookies"", we can continue to deliver personalised offers and inspiration, based on the things you like. If you prefer, you can choose to continue with ""Only Required Cookies"". But, keep in mind that blocking some types of cookies may impact how we can deliver tailored content that you might like.",1,cookies,https://www2.hm.com/en_in/index.html
CHANEL uses cookies to personalise content and offer you a tailored experience. You can manage your preferences and learn more by clicking on ‘Cookie settings’ and at any time in the Privacy policy.,1,cookies,https://www.chanel.com/in/
"This website uses cookies profiling its own and other websites to serve you advertising in line with your preferences. If you would like to learn more or opt out of all or some cookies, click here. By accessing any element beneath this banner, you agree to the use of cookies.",1,cookies,https://www.versace.com/in/en/?wt_mc=IN.SEM.Google.Text.01_Top_Brand_Exact_INT_IN.Exact&utm_campaignname=01_Top_Brand_Exact_INT_IN&utm_adgroup=Exact&utm_term=versace&s_kwcid=AL!6089!3!Keyword!EXACT!!g!!versace&gad_source=1&gclid=CjwKCAiAk9itBhASEiwA1my_67WpqZyRRARxiAyZynTRUp0yfFtzByHGaAX2K6nT7oJ_bZwG1IrTMxoCBrUQAvD_BwE&gclsrc=aw.ds
"We use our own cookies for the use of the site, personalize content and ads and to perform analyses of our traffic. We also share information about your use of our site with analytics partners who may combine it with other information that you’ve provided to them or that they’ve collected from your use of their services. If you want to learn more about cookies and opt-out, click the button Privacy and Cookie Policy. If you choose not to agree to the use of cookies all features of the site may not operate as intended.",1,cookies,https://www.royalenfield.com/in/en/home/
,,,
"In addition to the cookies that are strictly necessary for the operation of this website, Gucci uses cookies and other tracking tools to remember your preference and propose additional services, to measure our website performance, to improve our understanding of your interests, and to send you cart notifications. Our partners use trackers to deliver personalized advertising based on your browsing habits and your profile, including by using profiling, or to allow you to share our content on your social networks.",1,cookies,https://www.gucci.com/int/en/
"This Site uses cookies and similar technologies, including third-party cookies, to function properly, perform statistical analysis, offer you a better experience and send our online advertising messages in line with your preferences. Consult the Cookie Policy  to find out more, to know which cookies are used and how to disable them and/or to withhold your consent.",0,cookies,https://www.prada.com/ww/en.html
"This website uses cookies, including third-party cookies, to guarantee you the best experience on our website, analyse traffic to this website, show you personalised ads on third-party websites, and provide you with social media features. You can change your preferences at any time by accessing the cookie settings. For further information, please read our Cookie Policy and our Privacy Policy. By clicking the X to close the banner, only technical cookies will be kept.",0,cookies,https://www.ferrari.com/en-IN
"By clicking “Accept All Cookies”, you agree to the storing of cookies on your device to enhance site navigation, analyze site usage, and assist in our marketing efforts.",1,cookies,https://www.mclaren.com
"Triumph Motorcycles uses cookies to create a better experience for youOur website uses cookies and similar technologies to ease your navigation on the site, analyse website performance, deliver profile-based commercial content, and provide a better online experience. Some are necessary to help our website work properly and can't be switched off, and some are optional but support your experience. You may accept all cookies by clicking on “Allow all” or adjust your cookie preferences.Cookie Policy",1,cookies,https://www.triumphmotorcycles.in
,,,
This site uses cookies. By continuing to browse the site you are agreeing to our use of cookies.,1,cookies,https://www.kia.com/in/home.html
"We use necessary cookies to make our website work. We also set optional cookies to help us to improve it, display personalized content and provide you with an unforgettable experience. You could also agree to use use functional cookies to allow you to share some content from our website on your social networks or for video content playing. For more detailed information about the cookies we use, please see our Cookies policy.",0,cookies,https://www.bugatti.com
